wavl,Symmetric 2,Anti-Symmetric 2,Symmetric N,Anti-Symmetric N
1.5032032032032000,-650.2892131879390,-567.6280300329550,-691.6198048198740,-526.2974385099060
1.5033033033033000,-649.6856359455800,-568.0830225352530,-690.4869426235400,-527.2817158028860
1.5034034034034000,-649.0818664859070,-568.5382457878150,-689.3536767805100,-528.2664353843270
1.5035035035035000,-648.4779044349800,-568.9937002905780,-688.2200065616050,-529.2515982728010
1.5036036036036000,-647.8737495824280,-569.4493856722070,-687.0859315647600,-530.2372037443180
1.5037037037037000,-647.2694021565180,-569.9053017757870,-685.9514522652010,-531.2232515037400
1.5038038038038000,-646.6648624928280,-570.361448827396,-684.8165693527830,-532.2097420219200
1.503903903903900,-646.060129836572,-570.8178269998400,-683.6812813366200,-533.1966756631560
1.504004004004000,-645.4552044686380,-571.2744357026430,-682.5455887971760,-534.1840512651840
1.5041041041041000,-644.8500868370240,-571.731275103841,-681.4094926491370,-535.1718691827710
1.5042042042042000,-644.244776130105,-572.1883458143890,-680.2729912879450,-536.1601306565130
1.5043043043043000,-643.6392722450400,-572.6456477364110,-679.1360845266120,-537.1488355093550
1.5044044044044000,-643.0335751379970,-573.1031808216690,-677.9987722961610,-538.1379836635040
1.5045045045045000,-642.4276855832660,-573.5609444765940,-676.8610561638590,-539.1275739505150
1.5046046046046000,-641.8216035352940,-574.018938600284,-675.7229360572970,-540.1176061872760
1.5047047047047000,-641.2153274715010,-574.4771643509200,-674.5844089500010,-541.1080827088390
1.5048048048048000,-640.6088582751320,-574.9356215165760,-673.4454766271530,-542.0990031100400
1.5049049049049000,-640.0021967754600,-575.3943089580190,-672.3061407659890,-543.0903651311080
1.505005005005010,-639.3953416169100,-575.853227448086,-671.1663986740460,-544.0821703363990
1.5051051051051100,-638.7882932432120,-576.3123771601270,-670.0262512574780,-545.0744190913100
1.5052052052052100,-638.1810516068270,-576.7717580498230,-668.8856984398990,-546.0671113258900
1.5053053053053100,-637.573616392245,-577.2313699587790,-667.744739608978,-547.0602467420460
1.5054054054054100,-636.965988099072,-577.6912126228100,-666.6033757826150,-548.0538248300910
1.5055055055055100,-636.358166352956,-578.1512865426760,-665.4616062308020,-549.0478466102430
1.5056056056056100,-635.7501511079930,-578.611591617741,-664.3194308804130,-550.042311899909
1.5057057057057100,-635.1419420468980,-579.0721280187620,-663.1768491155730,-551.0372210592990
1.505805805805810,-634.5335397244630,-579.5328950442860,-662.0338620645510,-552.032572704198
1.505905905905910,-633.9249437094770,-579.9938933065570,-660.8904688836240,-553.0283680777850
1.506006006006010,-633.316154014175,-580.4551228652510,-659.746669615949,-554.0246073181010
1.506106106106110,-632.7071707563080,-580.916583128241,-658.6024645157180,-555.0212892595830
1.5062062062062100,-632.0979933954550,-581.378275090177,-657.4578525207830,-556.0184159102260
1.5063063063063100,-631.4886225446510,-581.8401981006920,-656.3128348758980,-557.0159859879780
1.5064064064064100,-630.8790580504240,-582.302351511022,-655.1674112928140,-558.0139982140090
1.5065065065065100,-630.2692992592700,-582.7647367021140,-654.0215804832050,-559.012455368894
1.5066066066066100,-629.6593464037080,-583.2273534041260,-652.8753429308110,-560.011356931647
1.5067067067067100,-629.0491996017800,-583.6902009698870,-651.7286988903970,-561.01070162661
1.5068068068068100,-628.4388587495640,-584.1532797390470,-650.5816481728130,-562.0104901517790
1.506906906906910,-627.8283245191730,-584.6165892755250,-649.4341921409790,-563.0107216536820
1.507007007007010,-627.2175959830070,-585.0801303056340,-648.2863289583800,-564.0113976036360
1.5071071071071100,-626.6066722184020,-585.5439031678300,-647.1380567983850,-565.012518697241
1.5072072072072100,-625.9955545537420,-586.0079069883390,-645.9893783364440,-566.0140832056370
1.5073073073073100,-625.3842434357070,-586.4721413379270,-644.840294484615,-567.0160902890540
1.5074074074074100,-624.7727377191890,-586.9366071054820,-643.6908029713630,-568.0185417439510
1.5075075075075100,-624.161037307189,-587.4013045145590,-642.540903621386,-569.0214380361260
1.5076076076076100,-623.5491425351290,-587.8662332474780,-641.3905971242200,-570.0247785489200
1.5077077077077100,-622.9370535741960,-588.3313932596660,-640.239883840928,-571.0285632118670
1.5078078078078100,-622.3247701105740,-588.7967841160590,-639.0887631625640,-572.0327911735350
1.5079079079079100,-621.7122913264490,-589.2624068160170,-637.9372334721990,-573.037464451334
1.508008008008010,-621.0996181631060,-589.7282611471370,-636.7852966710910,-574.0425826391530
1.508108108108110,-620.4867510695130,-590.1943459663250,-635.6329536758580,-575.0481434694820
1.5082082082082100,-619.873689347149,-590.6606617155540,-634.4802031081590,-576.0541478449690
1.5083083083083100,-619.2604326705270,-591.1272092306380,-633.327044335702,-577.0605974559240
1.5084084084084100,-618.646980821317,-591.5939888568320,-632.1734769405200,-578.0674930115500
1.5085085085085100,-618.0333341489780,-592.0609992760250,-631.0195016402240,-579.0748318943190
1.5086086086086100,-617.4194925509440,-592.5282410465560,-629.865118248368,-580.0826152395920
1.5087087087087100,-616.8054561986340,-592.9957144525450,-628.7103271264840,-581.0908436343060
1.5088088088088100,-616.1912248838980,-593.463418623701,-627.5551278769640,-582.0995153565700
1.508908908908910,-615.576798447324,-593.9313548878200,-626.3995201996730,-583.1086330806660
1.509009009009010,-614.962177450194,-594.3995221529610,-625.2435052358620,-584.1181946413950
1.5091091091091100,-614.3473609716150,-594.867920370673,-624.0870811624390,-585.1281999605540
